Sector,Gas,Activity,Additional aggregation,Category,Year,Emissions
Waste,CH4,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),1991,0.0354
Waste,CH4,Energy,Incinerated Waste,Sludge Incineration (energy),1991,274.3264
Waste,CH4,Energy,Associated Incinerator Fuels,Bituminous coal,1991,0
Waste,CH4,Energy,Associated Incinerator Fuels,Wood,1991,1.1008
Waste,CH4,Energy,Associated Incinerator Fuels,Natural gas-steam,1991,0.6435
Waste,CH4,Energy,Associated Incinerator Fuels,Propane,1991,0.0269
Waste,CH4,Energy,Associated Incinerator Fuels,Distillate fuel oil-steam,1991,0.0046
Waste,CH4,Energy,Associated Incinerator Fuels,Natural gas-internal combustion engine,1991,0
Waste,CH4,Energy,Associated Incinerator Fuels,Distillate fuel oil-internal combustion,1991,0
Waste,CH4,Energy,Waste Processing,Landfill Operations (energy),1991,0.4887
Waste,CH4,Energy,Waste Processing,Yard Waste Preprocessing (energy),1991,0.1321
Waste,CH4,Energy,Waste Processing,MMSW Compost Preprocessing (energy),1991,0.025
Waste,CH4,Energy,Waste Processing,MRF (energy),1991,0.2627
Waste,CH4,Energy,Waste Processing,RDF Processing (energy),1991,0.1356
Waste,CH4,Energy,Waste Processing,Incinerator Ash Disposal (energy),1991,0.0003
Waste,CH4,Waste,,LFG Combustion/Flaring,1991,0
Waste,CH4,Waste,,Rural Open Burning,1991,610.7389
