Row number,Sector,Gas,Activity,Additional aggregation,Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
67,Electricity Generation,CO2,Energy,,Other,468915.0459,517797.0494,525925.4032,558737.2048,557459.0976,552422.7608,558667.6559,587017.6037,582604.3838,557315.2218,561614.2679,548103.1426,579923.8145,571936.1193,564427.1552,573055.3488,530138.3129,559454.7003,549106.0834,520976.9042,485620.7581
68,Electricity Generation,CO2,Energy,,FGD,0,2962.35033,2997.52742,3065.68302,2102.27059,1858.22956,1819.97447,1827.00989,1446.65765,1477.4376,2353.03924,3182.07521,2342.0464,2167.52408,6095.70528,6210.95421,5857.20464,5800.12981,6012.24764,6128.9916,6447.34422
69,Electricity Generation,CO2,Energy,,Energy-Net Electricity Imports,8183748.05,10030182.54,9485265.737,8221170.642,10020921.11,11726308.01,13315484.59,14239641.25,13395781.97,13859568.44,13654424.89,15967152.6,13123525.83,12780013.75,14642311.65,13566208.1,14783132.56,14876936.75,14699324.29,13241386.44,13626708.11
70,Electricity Generation,CO,Energy,,Coal,5362.02172,5116.51938,4170.73858,4561.9025,4153.78329,3649.07784,4999.98823,5093.33102,5182.98068,5296.37399,5566.37162,5534.07135,5756.12951,6208.36438,5818.69539,5923.27981,5802.4844,5975.25889,6126.50506,5695.7289,5935.69715
71,Electricity Generation,CO,Energy,,Oil,77.95,93.65694,94.28273,101.98172,112.93257,111.55739,111.59946,161.00014,185.73115,219.95813,196.6355,169.53371,148.99669,205.30288,155.31529,249.35923,1497.96247,2223.80953,104.48126,74.33268,63.15152
72,Electricity Generation,CO,Energy,,Natural gas,202.71645,226.59457,191.97648,186.58245,232.92242,363.58863,236.4943,297.90269,515.09295,643.9482,441.50103,404.22252,607.74797,641.48177,478.82101,875.40508,888.9717,1097.92817,1507.95598,1353.63946,1555.95907
73,Electricity Generation,CO,Energy,,Other,1337.00194,1149.97641,1204.44656,1550.47256,1634.06279,2336.08411,1444.27074,2000.6396,1294.89237,1112.772,1084.47436,1548.88772,1484.35046,1550.95,1857.642,1864.04585,1699.76825,2669.40155,2562.49103,2672.85753,2827.95937
74,Electricity Generation,CO,Energy,,Energy-Net Electricity Imports,1714.10513,2002.53926,1649.89032,1477.24905,1733.479,2115.26606,2489.94021,2916.26532,2512.50533,2716.14085,2514.23127,3175.35393,2478.52839,2524.20446,2921.32608,2849.69711,3528.76952,4353.70866,3867.85526,3641.92227,4087.1505
75,Electricity Generation,SF6,Energy,,Energy,23.96198,24.03574,24.64253,24.6806,24.71629,24.67108,23.87393,23.40279,23.34806,15.60788,13.98684,14.13143,14.50155,14.87168,15.10735,15.34302,16.23714,16.33998,16.44282,16.33937,16.23592
76,Electricity Generation,SF6,Energy,,Energy-Net Electricity Imports,5.8847,7.30748,7.18147,5.69594,6.98521,8.07793,8.75171,9.03613,8.17169,5.8288,4.82456,5.86051,4.49437,4.36193,5.31059,4.90603,5.79392,5.94494,6.17375,5.97258,6.2902
77,Electricity Generation,Biomass CO2,Biomass,,Solid biomass,1069443.428,1194693.816,1279309.88,1422070.327,1435553.542,1393006.142,1386801.355,1394895.362,1363647.752,1379337.519,1355430.796,1323686.524,1641692.399,1718091.654,1879078.588,1954920.995,1888350.555,2118302.273,2206881.52,2370852.928,2403184.304
78,Electricity Generation,Biomass CO2,Biomass,,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.81728,856.63472,3029.20198,1053.46528,1496.67889,923.49669
79,Electricity Generation,Biomass CO2,Biomass,,Biogas,0,0,0,0,9285.88278,32159.50301,80611.84177,84359.3604,94788.78343,73480.07719,79345.18217,90314.15537,82518.45921,91680.37651,86253.00382,57631.74278,81468.8464,86504.92792,83612.12025,103921.7035,94688.9914
80,Waste,N2O,Energy,Incinerated Waste,Waste Sector RDF (energy),4.47692,4.51391,4.41337,3.80213,3.76758,3.13249,3.25322,4.54521,5.89628,2.29424,0,0,0,0,0,0,0,0,0,0,0
81,Waste,N2O,Energy,Incinerated Waste,Waste Sector Mass Burn (energy),2.981,3.1978,3.08019,3.18561,3.27151,2.49374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Waste,N2O,Energy,Incinerated Waste,Sludge Incineration (energy),2.43924,2.2621,2.22012,2.15986,2.3811,2.46728,2.51765,2.22757,2.08698,1.99786,2.06674,1.81942,1.37483,1.49194,1.25981,5.29966,5.67166,5.52252,5.72539,5.45137,5.75412
83,Waste,N2O,Energy,Associated Incinerator Fuels,Bituminous coal,0,0,0,0,0,0,0,0,0,9.29557,39.03199,19.90788,0,0,0,0,0,0,0,0,0
84,Waste,N2O,Energy,Associated Incinerator Fuels,Wood,0.29657,0.69835,0.36097,0.23302,0.34678,0.78905,0.35967,0.25297,0.3495,0.12636,0,0,0,0,0,0,0,0,0,0,0
85,Waste,N2O,Energy,Associated Incinerator Fuels,Natural gas-steam,0.48796,0.64352,0.67698,1.12956,0.75955,0.88685,0.92352,1.04569,0.42362,0.48369,0.53633,0.4159,0.39632,0.62588,0.63068,0.24732,0.22308,0.25188,0.29178,0.27471,0.26466
86,Waste,N2O,Energy,Associated Incinerator Fuels,Propane,0,0.11951,0.14876,0.07028,0.30316,0.11056,0.10649,0.2009,0.12963,0.061,0.001,0,0,0.01273,0.00246,0.00024,0.0001,0.0001,0,0,0
